"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"ruben amorim","50K+","28 October 2024 at 18:10:00 UTC+5:30",,"ruben amorim,sporting cp,sporting vs nacional,amorim","https://trends.google.com/trends/explore?q=ruben%20amorim&geo=IN&hl=en-GB"
"amit shah","10K+","30 October 2024 at 11:50:00 UTC+5:30",,"amit shah,india news","https://trends.google.com/trends/explore?q=amit%20shah&geo=IN&hl=en-GB"
"ayushman bharat","100K+","28 October 2024 at 08:10:00 UTC+5:30",,"ayushman bharat,pmjay,pmjay portal,ayushman bharat yojana,ayushman bharat health insurance scheme,ayushman card,ayushman bharat senior citizens,ayushman bharat card,ayushman bharat health insurance,ayushman bharat for senior citizens,ayushman card download,ayushman vaya vandana card,ayushman,ayushman card apply,pmjay beneficiary,all","https://trends.google.com/trends/explore?q=ayushman%20bharat&geo=IN&hl=en-GB"
"halloween","50K+","24 October 2024 at 02:50:00 UTC+5:30",,"halloween","https://trends.google.com/trends/explore?q=halloween&geo=IN&hl=en-GB"
"jaya kishori","20K+","27 October 2024 at 18:50:00 UTC+5:30",,"jaya kishori,dior bag jaya kishori,dior bags jaya kishori,christian dior","https://trends.google.com/trends/explore?q=jaya%20kishori&geo=IN&hl=en-GB"
"jee mains 2025","200K+","28 October 2024 at 18:00:00 UTC+5:30",,"jee mains 2025,jee mains 2025 registration,nta jee mains application form 2025,jee mains,nta jee mains 2025 application form,nta jee mains 2025,nta,jee mains nta nic 2025,jeemain.nta.nic.in 2025,jee mains 2025 exam date,nta jee mains,jee main 2025,jee main,jeemain.nta.nic,jee mains 2025 exam date nta,jee mains 2025 syllabus,jeemain.nta.nic.in,jee main 2025 registration,nta jee,jee mains 2025 registration date,jeemain.nta.nic.in 2024,jee mains registration,jee main 2025 exam date,jee mains registration 2025,nta official website,jee registration 2025,jee mains date,jee mains nta,jee mains nta 2025,jee mains 2025 date,nic,jee mains 2025 notification,jee main registration,jee mains date 2025","https://trends.google.com/trends/explore?q=jee%20mains%202025&geo=IN&hl=en-GB"
"dhanteras timing 2024","1M+","28 October 2024 at 09:20:00 UTC+5:30",,"dhanteras timing 2024,dhanteras 2024,happy dhanteras,dhanteras muhurat,happy dhanteras wishes,dhanteras wishes,happy dhanteras images,dhanteras puja muhurat 2024,dhanteras puja vidhi,dhanteras wishes in hindi,धनतेरस,dhantrayodashi,dhanvantari,dhanteras kab hai 2024,dhanteras puja,धनतेरस की हार्दिक शुभकामनाएं,धनतेरस कब की है,choghadiya today,dhanteras pooja,dhan teras,dhanteras ka shubh muhurt,today choghadiya,धनत्रयोदशी,dhan teras in 2024,dhanteras 2024 hindu calendar,dhanteras puja time,धनतेरस कब है 2024,dhanvantari ji ki aarti,lakshmi mata ki aarti,dhanteras puja muhurat,dhanteras aarti,dhanteras mantra,jhadu,dhanvantari aarti,dhanteras time,dhan teras kab hai,धनतेरस पूजा विधि,dhanteras wish,dhanteras ki puja,dhanteras ki aarti,हैप्पी धनतेरस,धनतेरस का शुभ मुहूर्त,laxmi ji aarti,धनतेरस 2024,dhanvantari puja,dhantrayodashi puja,कुबेर जी की आरती,धनतेरस की शुभकामनाएं,शुभ धनतेरस,dhanteras ki katha,dhanteras 2024 date and time,lakshmi mata aarti,dhantera,धनतेरस की पूजा,dhanteras wallpaper,dhanteras puja mantra,धनतेरस की आरती,dhanteras katha,dhanvantari stotra,2024 dhanteras,dhanteras messages,2024 में धनतेरस कब है,dhanteras ka muhurt,today muhurat,kuber ji aarti,muhurat today,dhanteras message,धनतेरस किस दिन है,laxmi mata ki aarti,shubh muhurat today,dhanteras ka photo,dhanvantari ki aarti,dhanteras photos,धनतेरस का मुहूर्त,dhanteras shubh muhurat,धनतेरस की फोटो,धनतेरस पूजा,yam deepak 2024,panchang today,kuber ki aarti,धनतेरस की हार्दिक शुभकामनाएं पोस्टर,today panchang,dhanteras muhurt,happy dhan teras,dhaniya,आज की तिथि,hindu calendar,धनतेरस इमेज,2024 dhanteras date,हिंदी,dhanteras ki shubhkamnaye in hindi,आज का पंचांग","https://trends.google.com/trends/explore?q=dhanteras%20timing%202024&geo=IN&hl=en-GB"
"bhavish aggarwal","10K+","30 October 2024 at 04:10:00 UTC+5:30",,"bhavish aggarwal,kunal kamra,ola electric","https://trends.google.com/trends/explore?q=bhavish%20aggarwal&geo=IN&hl=en-GB"
"zwigato","50K+","25 October 2024 at 00:30:00 UTC+5:30",,"zwigato","https://trends.google.com/trends/explore?q=zwigato&geo=IN&hl=en-GB"
"vijay thalapathy","200K+","27 October 2024 at 16:40:00 UTC+5:30",,"vijay thalapathy,vijay,tvk,tvk maanadu,thalapathy,thalapathy vijay,vikravandi,anjalai ammal,fascism,vijay maanadu place,tvk vijay,dmk,actor vijay,pawan kalyan,tvk party,tvk maanadu place,dmk party,vijay maanadu time,secular social justice,tamilaga vettri kazhagam,tvk family,periyar,tvk live,tamilaga vetri kalagam,ambedkar,thalapathy 69,vijay caste,vikravandi tvk maanadu,secular social justice ideology,vijay party name,tamil,vijay party,vijay thalapathy party name,india today","https://trends.google.com/trends/explore?q=vijay%20thalapathy&geo=IN&hl=en-GB"
"divya sreedhar","10K+","30 October 2024 at 08:30:00 UTC+5:30",,"divya sreedhar,kriss venugopal,kris venugopal","https://trends.google.com/trends/explore?q=divya%20sreedhar&geo=IN&hl=en-GB"
"mac mini","10K+","29 October 2024 at 21:00:00 UTC+5:30",,"mac mini,mac mini m4,imac,macbook,mac","https://trends.google.com/trends/explore?q=mac%20mini&geo=IN&hl=en-GB"
"crackers","20K+","25 October 2024 at 17:20:00 UTC+5:30",,"crackers,fire crackers,delhi,lg","https://trends.google.com/trends/explore?q=crackers&geo=IN&hl=en-GB"
"the lady killer","50K+","26 October 2024 at 17:10:00 UTC+5:30",,"the lady killer","https://trends.google.com/trends/explore?q=the%20lady%20killer&geo=IN&hl=en-GB"
